Shared,Unique,ShSSE,UnSSE,SlpTrls
0.666667,0.666667,0.406007,0.394152
0.653846,0.703704,0.441096,0.355986,82
0.705128,0.703704,0.359748,1.259189
0.730769,0.666667,0.355912,1.341032,80
0.692308,0.666667,0.390101,0.741426
0.743590,0.740741,0.332613,0.654220,82
0.743590,0.666667,0.292191,1.007287
0.782051,0.703704,0.283217,0.948462,75
0.717949,0.666667,0.353621,0.926142
0.692308,0.666667,0.360109,0.967345,68
0.666667,0.703704,0.398668,0.465930
0.692308,0.814815,0.401280,0.233590,97
0.794872,0.666667,0.246141,1.321147
0.846154,0.629630,0.195087,1.322508,60
0.782051,0.703704,0.280188,1.254679
0.782051,0.740741,0.282969,1.255784,62
0.807692,0.703704,0.213038,1.248187
0.807692,0.703704,0.229886,1.269621,82
0.679487,0.703704,0.377734,0.674811
0.679487,0.629630,0.388909,0.755421,75
0.730769,0.666667,0.318329,0.949253
0.730769,0.666667,0.336555,0.967135,86
0.846154,0.777778,0.186772,0.777047
0.871795,0.740741,0.129724,0.795954,70
0.730769,0.666667,0.332859,1.017296
0.743590,0.629630,0.330078,1.222993,103
0.705128,0.666667,0.352952,1.459259
0.756410,0.666667,0.322529,1.437326,67
0.705128,0.666667,0.324474,0.959396
0.730769,0.666667,0.292385,0.969889,55
0.730769,0.703704,0.322907,0.698624
0.794872,0.703704,0.277515,0.683562,79
0.756410,0.666667,0.234299,0.819337
0.807692,0.666667,0.206798,1.071829,69
0.705128,0.666667,0.359217,1.018036
0.743590,0.666667,0.345356,1.033273,82
0.833333,0.740741,0.210812,1.147667
0.846154,0.703704,0.205936,1.147618,74
